Hostname,nombre_red,Plugin,Plugin Name,IP Address,Severidad,Port,Protocol,Solution,CVSS_Final,fecha_escaneo,Segmento,CVE,Family,Fixed
medseccimed08.rbm.com.co,Estaciones de trabajo,132101,Windows Speculative Execution Configuration Check,192.168.30.17,Media,445,TCP,Apply vendor recommended settings.,6.4,10/02/2022,Estaciones de trabajo,"CVE-2017-5715,CVE-2017-5753,CVE-2017-5754,CVE-2018-3615,CVE-2018-3620,CVE-2018-3639,CVE-2018-3646,CVE-2018-12126,CVE-2018-12127,CVE-2018-12130,CVE-2019-11135",Windows,No
medseccimed08.rbm.com.co,Estaciones de trabajo,141430,Microsoft 3D Viewer Base3D Code Execution (October 2020),192.168.30.17,Alta,445,TCP,Upgrade to app version 7.2009.29132.0 or later via the Microsoft Store.,7.8,10/02/2022,Estaciones de trabajo,"CVE-2020-16918,CVE-2020-17003",Windows,No
medseccimed08.rbm.com.co,Estaciones de trabajo,148464,Security Updates for Outlook (April 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB4504712
  -KB4504733
  -KB4493185

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-28452,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,148470,Security Updates for Microsoft Excel Products (April 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB3017810
  -KB4504721
  -KB4504735   For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-28449,CVE-2021-28451,CVE-2021-28454,CVE-2021-28456",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,148474,Security Updates for Microsoft Office Products (April 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB2553491
  -KB2589361
  -KB3178639
  -KB3178643
  -KB4504738
  -KB4504722
  -KB4504726
  -KB4504724
  -KB4504739
  -KB4504727",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-28449,CVE-2021-28453,CVE-2021-28454",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,148478,Security Updates for Microsoft Word Products (April 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB4493208
  -KB4493218
  -KB4493198   For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-28453,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,149397,Security Updates for Microsoft Excel Products (May 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5001918
  -KB5001936

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-31174,CVE-2021-31175,CVE-2021-31177,CVE-2021-31178,CVE-2021-31179",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,149399,Security Updates for Microsoft Word Products (May 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5001919
  -KB5001931

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-31180,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,149401,Security Updates for Microsoft Office Products (May 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address these issues:  
  -KB4464542
  -KB4493206
  -KB4493197
  -KB5001920
  -KB5001923
  -KB5001925
  -KB5001927   For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-28455,CVE-2021-31174,CVE-2021-31175,CVE-2021-31176,CVE-2021-31178,CVE-2021-31179,CVE-2021-31180",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,150351,Security Updates for Outlook (June 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5001934
  -KB5001942   For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-31949,Windows : Microsoft Bulletins,No
